species,region
P._acomodontum,E
P._adductum,E
P._anitum,E
P._appletonianum,ABI
P._argus,E
P._armeniacum,A
P._barbatum,BG
P._barbigerum,A
P._braemi,G
P._callosum,ABI
P._charlesworthii,AB
P._ciliolare,E
P._concolor,AB
P._curtisii,G
P._dayanum,D
P._delenatii,A
P._dianthum,A
P._druryi,H
P._emersonii,A
P._esquirolei,AH
P._exul,BG
P._fairrieanum,H
P._fowliei,E
P._gigantifolium,C
P._glanduliferum,F
P._godefroyae,B
P._godefroyae_var._leucochilum,B
P._gratrixianum,A
P._hangianum,A
P._haynaldianum,E
P._helenae,A
P._henryanum,A
P._herrmannii,H
P._hirsutissimum,AH
P._hookerae,D
P._jackii,A
P._javanicum,DG
P._javanicum_var._virens,D
P._koloparkingii,F
P._lawrenceanum,D
P._liemianum,G
P._lowii,BCGD
P._malipoense,A
P._mastersianum,C
P._micranthum,A
P._micranthum_var._eburneum,A
P._moquetteanum,D
P._niveum,B
P._ooii,D
P._papuanum,F
P._parishii,AB
P._philippinense,DE
P._primulinum,G
P._purpuratum,A
P._randsii,E
P._richardianum,C
P._rothschildianum,D
P._sanderianum,D
P._sangii,C
P._schoseri,C
P._spicerianum,H
P._stonei,D
P._sukhakulii,B
P._supardii,D
P._superbiens,G
P._tigrinum,A
P._tonsum,G
P._tranilienianum,A
P._urbanianum,E
P._veniferum,AB
P._venustum,AH
P._victoria-mariae,G
P._victoria-regina,G
P._vietnamense,A
P._villosum,BH
P._volonteanum,D
P._wardii,AB
P._wilhelminiae,F
Phragmipedium_longifolium,K
Phragmipedium_pearcei,K
